Ticker,Category,CompanyName,Exchange
GIGM,Multimedia & Graphics Software,GigaMedia Limited,NCM
GIII,Textile - Apparel Clothing,"G-III Apparel Group, Ltd.",NMS
GIL,Textile - Apparel Clothing,Gildan Activewear Inc.,NYQ
GILD,Biotechnology,"Gilead Sciences, Inc.",NMS
GILT,Communication Equipment,Gilat Satellite Networks Ltd.,NMS
GIMO,Networking & Communication Devices,Gigamon Inc.,NYQ
GIS,Processed & Packaged Goods,"General Mills, Inc.",NYQ
GJST,Industrial Metals & Minerals,GEO JS Tech Group Corp.,PNK
GKOS,Medical Instruments & Supplies,Glaukos Corporation,NYQ
GLBD,Conglomerates,Global Seed Corporation,PNK
GLBL,Diversified Utilities,"TerraForm Global, Inc.",NMS
GLBZ,Regional - Mid-Atlantic Banks,Glen Burnie Bancorp,NCM
